id,付款编号,供应商编号,供应商名称,供应商简称,供应商类别,费用类型,付款金额,币种,付款状态,发票号码,开票日期,付款到期日,实际付款日期,收款银行,收款账户尾号,申请部门,申请人,审批状态,备注
1,PAY-20250001,SUP001,加西贝拉压缩机有限公司,加西贝拉,零部件,零部件采购,25600000.0,CNY,已付款,INV-202500000,2025-05-15,2025-07-15,2025-06-30,工商银行,1023,采购部,王磊,已通过,双门冰箱压缩机年度框架协议 Q2交货
2,PAY-20250002,SUP001,加西贝拉压缩机有限公司,加西贝拉,零部件,零部件采购,18300000.0,CNY,待审批,FP-202500001,2026-02-01,2026-05-01,,工商银行,1023,采购部,李华,待审批,高端对开门冰箱压缩机批量采购
3,PAY-20250003,SUP001,加西贝拉压缩机有限公司,加西贝拉,零部件,零部件采购,8900000.0,CNY,已逾期,FP-202500002,2025-10-01,2025-12-01,,建设银行,1589,采购部,李华,已通过,洗碗机专用压缩机尾款
4,PAY-20250004,SUP002,宝山钢铁股份有限公司,宝钢,原材料,原材料采购,45800000.0,CNY,已付款,INV-202500003,2025-03-01,2025-06-01,2025-05-15,工商银行,1023,采购部,李华,已通过,家电用镀锌钢板 Q2 批次
5,PAY-20250005,SUP002,宝山钢铁股份有限公司,宝钢,原材料,原材料采购,52300000.0,CNY,审批中,FP-202500004,2026-04-01,2026-07-01,,工商银行,1023,采购部,王磊,待审批,冰箱外壳用彩涂板年度合同首批
6,PAY-20250006,SUP003,巴斯夫（中国）有限公司,巴斯夫,原材料,原材料采购,12800000.0,CNY,已付款,INV-202500005,2025-06-10,2025-08-10,2025-07-25,中国银行,1053,采购部,张明,已通过,保温泡沫材料 H1 批次
7,PAY-20250007,SUP003,巴斯夫（中国）有限公司,巴斯夫,原材料,原材料采购,9500000.0,CNY,待审批,FP-202500006,2026-01-15,2026-04-15,,中国银行,1053,采购部,李华,待审批,工程塑料粒子年度框架
8,PAY-20250008,SUP004,京东家电,京东,渠道,渠道返利,3500000.0,CNY,已付款,INV-202500007,2025-07-01,2025-08-01,2025-07-20,招商银行,1367,市场部,陈晓,已通过,618大促返利及营销费用
9,PAY-20250009,SUP004,京东家电,京东,渠道,渠道返利,5200000.0,CNY,审批中,FP-202500008,2025-12-15,2026-01-15,,招商银行,1367,市场部,陈晓,待审批,双11/双12促销活动费用
10,PAY-20250010,SUP005,苏宁易购集团股份有限公司,苏宁,渠道,渠道返利,2800000.0,CNY,已付款,INV-202500009,2025-08-01,2025-09-01,2025-08-20,招商银行,1367,市场部,赵婷,已通过,苏宁线下门店陈列及促销费
11,PAY-20250011,SUP005,苏宁易购集团股份有限公司,苏宁,渠道,渠道返利,1800000.0,CNY,已逾期,FP-202500010,2025-11-01,2025-12-01,,招商银行,1367,市场部,赵婷,已通过,国庆促销活动尾款
12,PAY-20250012,SUP006,SAP（中国）有限公司,SAP,软件,软件许可,6800000.0,CNY,已付款,INV-202500011,2025-04-01,2025-07-01,2025-06-15,建设银行,1589,IT部,刘强,已通过,SAP S/4HANA 年度许可及维护
13,PAY-20250013,SUP006,SAP（中国）有限公司,SAP,软件,软件许可,2200000.0,CNY,待审批,FP-202500012,2026-03-01,2026-06-01,,建设银行,1589,IT部,周杰,待审批,SAP 分析云模块扩展许可
14,PAY-20250014,SUP007,德迅中国货运有限公司,德迅,物流,物流服务,9600000.0,CNY,已付款,INV-202500013,2025-05-20,2025-07-20,2025-07-05,浦发银行,1534,供应链部,孙丽,已通过,欧洲出口海运服务 Q2
15,PAY-20250015,SUP007,德迅中国货运有限公司,德迅,物流,物流服务,7800000.0,CNY,审批中,FP-202500014,2026-04-01,2026-07-01,,浦发银行,1534,供应链部,孙丽,待审批,全球备件物流年度协议
16,PAY-20250016,SUP007,德迅中国货运有限公司,德迅,物流,物流服务,4500000.0,CNY,已逾期,FP-202500015,2025-10-15,2025-12-15,,中国银行,1053,供应链部,孙丽,已通过,Q4 空运加急费用
17,PAY-20250017,SUP008,顺丰速运有限公司,顺丰,物流,物流服务,1850000.0,CNY,已付款,INV-202500016,2025-06-01,2025-07-01,2025-06-25,招商银行,1367,售后部,褚芳,已通过,6月售后配件快递费用
18,PAY-20250018,SUP008,顺丰速运有限公司,顺丰,物流,物流服务,2200000.0,CNY,已逾期,FP-202500017,2025-12-01,2026-01-01,,招商银行,1367,售后部,冯涛,待审批,12月配件及维修件物流
19,PAY-20250019,SUP009,奥美整合行销集团,奥美,营销,营销服务,4200000.0,CNY,已付款,INV-202500018,2025-03-15,2025-05-15,2025-05-01,建设银行,1589,市场部,陈晓,已通过,2025年度品牌全案服务费
20,PAY-20250020,SUP009,奥美整合行销集团,奥美,营销,营销服务,3800000.0,CNY,待审批,FP-202500019,2026-01-01,2026-04-01,,建设银行,1589,市场部,赵婷,待审批,新品上市整合营销方案
21,PAY-20250021,SUP010,南京宁华供应链管理有限公司,宁华供应链,物流,仓储服务,980000.0,CNY,已付款,INV-202500020,2025-07-01,2025-08-01,2025-07-20,南京银行,8902,供应链部,孙丽,已通过,南京工厂7月仓储管理服务
22,PAY-20250022,SUP010,南京宁华供应链管理有限公司,宁华供应链,物流,仓储服务,1120000.0,CNY,审批中,FP-202500021,2026-03-01,2026-04-01,,南京银行,8902,供应链部,吴昊,待审批,滁州新仓库租赁及管理费
23,PAY-20250023,SUP011,美的威灵电机技术有限公司,威灵电机,零部件,零部件采购,15200000.0,CNY,已付款,INV-202500022,2025-05-01,2025-07-01,2025-06-20,浦发银行,1534,采购部,张明,已通过,洗衣机BLDC电机批量采购 Q2
24,PAY-20250024,SUP011,美的威灵电机技术有限公司,威灵电机,零部件,零部件采购,9800000.0,CNY,已逾期,FP-202500023,2025-11-01,2026-01-01,,浦发银行,1534,采购部,李华,已通过,洗碗机循环泵电机尾款
25,PAY-20250025,SUP012,英飞凌科技（中国）有限公司,英飞凌,电子,电子元器件,6800000.0,CNY,已付款,INV-202500024,2025-06-15,2025-08-15,2025-08-01,中国银行,1053,采购部,李华,已通过,IGBT功率模块采购
26,PAY-20250026,SUP012,英飞凌科技（中国）有限公司,英飞凌,电子,电子元器件,12500000.0,CNY,待审批,FP-202500025,2026-03-01,2026-06-01,,中国银行,1053,研发部,钱工,待审批,智能家电控制芯片开发样品
27,PAY-20250027,SUP012,英飞凌科技（中国）有限公司,英飞凌,电子,电子元器件,3500000.0,CNY,已付款,INV-202500026,2025-09-01,2025-10-01,2025-09-20,建设银行,1589,采购部,李华,已通过,传感器模块批量采购
